rank  organ         case                               slice    id      dice    area
------------------------------------------------------------------------------------------
0     RAG           CT_Abd_FLARE22_Tr_0007.npz            60     7    0.0050     114
1     RAG           CT_Abd_FLARE22_Tr_0006.npz            47     7    0.0528     103
2     RAG           CT_Abd_FLARE22_Tr_0006.npz            46     7    0.0548     101
3     Esophagus     CT_Abd_FLARE22_Tr_0026.npz            47    10    0.0590     211
4     LAG           CT_Abd_FLARE22_Tr_0023.npz            44     8    0.0625     130
5     Esophagus     CT_Abd_FLARE22_Tr_0006.npz            83    10    0.0698     232
6     Esophagus     CT_Abd_FLARE22_Tr_0006.npz            87    10    0.0820     199
7     RAG           CT_Abd_FLARE22_Tr_0038.npz            59     7    0.0875     121
8     Esophagus     CT_Abd_FLARE22_Tr_0031.npz            95    10    0.0886     129
9     Esophagus     CT_Abd_FLARE22_Tr_0031.npz            96    10    0.0931     120
10    RAG           CT_Abd_FLARE22_Tr_0026.npz            28     7    0.1054     124
11    Esophagus     CT_Abd_FLARE22_Tr_0031.npz            94    10    0.1103     129
12    RAG           CT_Abd_FLARE22_Tr_0026.npz            27     7    0.1119     103
13    RAG           CT_Abd_FLARE22_Tr_0038.npz            57     7    0.1133     125
14    Esophagus     CT_Abd_FLARE22_Tr_0026.npz            49    10    0.1226     211
15    RAG           CT_Abd_FLARE22_Tr_0010.npz            56     7    0.1250     123
16    RAG           CT_Abd_FLARE22_Tr_0038.npz            58     7    0.1365     113
17    Esophagus     CT_Abd_FLARE22_Tr_0031.npz            97    10    0.1404     121
18    RAG           CT_Abd_FLARE22_Tr_0018.npz            62     7    0.1649     101
19    Esophagus     CT_Abd_FLARE22_Tr_0006.npz            92    10    0.1665     235
20    RAG           CT_Abd_FLARE22_Tr_0038.npz            61     7    0.1676     122
21    RAG           CT_Abd_FLARE22_Tr_0038.npz            60     7    0.1785     118
22    RAG           CT_Abd_FLARE22_Tr_0031.npz            54     7    0.1806     109
23    Esophagus     CT_Abd_FLARE22_Tr_0006.npz            91    10    0.1993     222
24    RAG           CT_Abd_FLARE22_Tr_0033.npz            58     7    0.1997     124
25    Esophagus     CT_Abd_FLARE22_Tr_0006.npz            84    10    0.2068     223
26    RAG           CT_Abd_FLARE22_Tr_0030.npz            49     7    0.2164     101
27    RAG           CT_Abd_FLARE22_Tr_0011.npz            46     7    0.2187     134
28    Esophagus     CT_Abd_FLARE22_Tr_0031.npz            90    10    0.2204     157
29    Pancreas      CT_Abd_FLARE22_Tr_0030.npz            19     4    0.2304     151
30    RAG           CT_Abd_FLARE22_Tr_0024.npz            47     7    0.2308     138
31    Esophagus     CT_Abd_FLARE22_Tr_0027.npz            98    10    0.2344     142
32    RAG           CT_Abd_FLARE22_Tr_0002.npz            55     7    0.2347     124
33    Esophagus     CT_Abd_FLARE22_Tr_0026.npz            48    10    0.2373     212
34    RAG           CT_Abd_FLARE22_Tr_0032.npz            52     7    0.2384     117
35    Esophagus     CT_Abd_FLARE22_Tr_0026.npz            46    10    0.2388     215
36    RAG           CT_Abd_FLARE22_Tr_0025.npz            41     7    0.2398     110
37    Esophagus     CT_Abd_FLARE22_Tr_0027.npz            94    10    0.2401     147
38    Esophagus     CT_Abd_FLARE22_Tr_0031.npz            98    10    0.2457     117
39    RAG           CT_Abd_FLARE22_Tr_0027.npz            49     7    0.2462     146
40    RAG           CT_Abd_FLARE22_Tr_0005.npz            49     7    0.2463     118
41    Esophagus     CT_Abd_FLARE22_Tr_0027.npz            97    10    0.2493     146
42    RAG           CT_Abd_FLARE22_Tr_0003.npz            57     7    0.2493     153
